El0-El1	a	xi	p	q	r0	1El1inEl0	1El0inEl1	latt_par0_20	latt_par0_40	latt_par0_60	latt_par0_80	T	H_mix_5	H_mix_95	H_mix_50	T_latt_par	latt_par_5	latt_par_95	latt_par_50
Cu-Ni	0	0	0	0	0	0.03	0.11	3.5244114145	3.5383278695	3.5560954330	3.5754750441	298	0.010478397846928	0.00593722299032343	0.0508367146769977	298	3.51384348199974	3.59569303132613	3.55379020611179
Pt-Ni	0	0	0	0	0	-0.33	-0.28	3.59552770495501	3.67867311400712	3.75443725344479	3.84216116236453	298	-0.01412	-0.01652	-0.09603	400	3.53354849740271	3.91140915052023	3.72943962432481
Cu-Pt	0	0	0	0	0	-0.53	-0.3	4.01824555264248	4.08111910595626	4.01917560972384	3.87710434201983	298	-0.014727150724	-0.03847253054	-0.127769008784	293	3.96024591539279	3.6828436860685	4.07576621984352
Pd-Ni	0	0	0	0	0	-0.09	0.06	3.612256	3.690546	3.758396	3.814629	1173	0.00269541897001686	-0.00303589294517688	-0.00655078233281501	298	3.53258066055924	3.8914308647903	3.7380901769444
Cu-Pd	0	0	0	0	0	-0.44	-0.39	3.82916511051976	3.77174165679519	3.71189219487156	3.64758848357484	1000	-0.0188659061593135	-0.0229860465849107	-0.11102694199504	400	3.89619716238672	3.61802220562851	3.77254455893241
Ni-Rh	0	0	0	0	0	0.064881	0.07359	3.77062879121421	3.71689784911389	3.65599188975109	3.58738548280083	1100	0.0036793265	0.0032440259	0.019795813	573	3.82357003673703	3.53825350329445	3.70326338826811
Cu-Rh	0	0	0	0	0	0.413275	0.5255	3.76927436081203	3.72622733087409	3.68179663073778	3.63579978373466	1275	0.026277477800125	0.020663732437375	0.123529500625	1275	3.85473225841435	3.678480369708	3.76886468887418
Pd-Rh	0	0	0	0	0	0.524434	0.34306	3.82950085862619	3.84497581662043	3.86315618898135	3.88175707854675	1575	0.0171529165	0.026221679	0.104472144	1673	3.89465297108497	4.00929632674093	3.94992441512308
Pt-Rh	0	0	0	0	0	-0.10799	-0.10759	3.83335932669876	3.85326767949396	3.87317603228916	3.89308438508436	1273	-0.00537953161581251	-0.0053994699379375	-0.0283657935625	400	3.833033	3.924167	3.8786
Pt-Pd	0	0	0	0	0	-0.086	-0.152	3.889513642878	3.89191562939276	3.89562821880114	3.90265170284406	298	-0.007601437580	-0.004297599920	-0.037145	1673	4.01067403185538	3.9949925687472	3.99959448642721



resc con 'new_pure_new/7_test_4
