El0-El1	a	xi	p	q	r0	T	H_mix_5	H_mix_95	H_mix_50	T_latt_par	latt_par_5	latt_par_95	latt_par_50
Cu-Ni	0	0	0	0	0	298	0.010478397846928	0.0059372229903234	0.0508367146769977	298	3.51532807580235	3.59577283463652	3.55457969596087
Pt-Ni	0	0	0	0	0	298	-0.01412	-0.01652	-0.09603	400	3.53511455320323	3.90308526749615	3.72628517225162
Cu-Pt	0	0	0	0	0	298	-0.014727150724	-0.03847253054	-0.127769008784	293	3.95130107668214	3.68240484296162	4.07091534201061
Pd-Ni	0	0	0	0	0	1173	0.0026954189700168	-0.0030358929451768	-0.006550782332815	298	3.53407266295397	3.89151667784895	3.7389177955326
Cu-Pd	0	0	0	0	0	1000	-0.0188659061593135	-0.0229860465849107	-0.11102694199504	400	3.89619716238672	3.61802220562851	3.77254455893241
Ni-Rh	0	0	0	0	0	1100	0.0036793265	0.0032440259	0.019795813	298	3.83393024322907	3.53174946082649	3.70491261473298
Cu-Rh	0	0	0	0	0	1275	0.026277477800125	0.020663732437375	0.123529500625	298	3.83335352702596	3.6125608543005	3.72465667761898
Pd-Rh	0	0	0	0	0	1575	0.0171529165	0.026221679	0.104472144	298	3.85219292439611	3.90659190344942	3.87767605661524
Pt-Rh	0	0	0	0	0	1273	-0.0053795316158125	-0.0053994699379375	-0.0283657935625	298	3.8493495	3.9121605	3.880755
Pt-Pd	0	0	0	0	0	298	-0.00760143758	-0.00429759992	-0.037145	298	3.90598946982599	3.91438961701018	3.90697942939042
