El	a	xi	p	q	r0	latt_const	LS	E_c	C11	C12	C44	Cp	alpha	vac_en	sur_energy	T_m	Fcc-hcp	Fcc-bcc	B
Cu	0.0750624251369062	1.1689454251042	11.29045907899	2.16357837569554	2.53957	3.59150	fcc	-3.46992	1.76634	1.19814	0.82934	6.07512	1.09E-05	1.29018	1.37498	1605.49440	0.01744	0.07406	1.38754
Ni	0.0894200381106201	1.43847731959819	11.611385221344	2.14541629800818	2.47526356135447	3.50055129891542	fcc	-4.31445999715513	2.43558963453226	1.63659315798686	1.15248220098981	6.03408783011795	8.10E-06	1.62847597364722	2.10625927667529	2047.68364853845	0.0220841779280141	0.0958764109315036	1.90292531683532
Pd	0.122141981482783	1.53175159978061	12.2665997220403	3.23634477772949	2.75093980589675	3.89041638277119	fcc	-3.97108174876487	2.46416528761477	1.71781489312029	0.992493679968771	6.12505937323832	1.44E-05	1.2876258660132	1.37286752092708	2003.66018793519	0.00376186890117447	0.0733213089046858	1.96659835795178
Pt	0.259377859134345	2.55788247220817	12.3295084606269	4.27511113819592	2.76690	3.91299	fcc	-5.81881	4.38951	3.30820	1.33223	6.09949	0.00001	1.41515	1.36606	2503.04497	0.00085	0.10162	3.6686378751717
Rh	0.126401399477181	1.93035134416222	13.8320516800007	2.93154949642482	2.69651704336965	3.81345097390356	fcc	-5.40222577752522	3.86864140431099	2.53680485732967	1.71623106056595	6.06912116606415	9.60E-06	1.98779452363434	1.81273770145707	2951.62973305172	0.00806064146344454	0.125507075173712	2.98075037299011




#  'Pure data new/test_initial_point_new_longdatabase/7/test_3'
